author,published_at,updated_at,like_count,text
@2005jungsuman,2023-07-23T23:21:50Z,2023-07-23T23:21:50Z,0,"They should make another part of this Movie, it is Ok movie, story is Not A Really big Part, But the presentation and smooth Flow. They Have All character they Needed. just need. A good Director who can Control and understand  and Control The super Power of the characters. And Deliver them As a Movie.  For me It’s Just the Direction Of Movie..and Presentation..  hire the best director.."
@nites90,2023-07-23T10:31:43Z,2023-07-23T10:31:43Z,0,"By far the worst DC film ever. It&#39;ll fit well under marvel unbrella.. just so much happening with no lead up.. after watching dark knight, man of steel.. black Adam fell didn&#39;t came close at all. Cgi gets credit but that&#39;s it."
@joeypreme,2023-07-20T12:22:59Z,2023-07-20T12:22:59Z,0,this is bald adam
@joeypreme,2023-07-20T12:22:47Z,2023-07-20T12:22:47Z,0,black adam is not bald
@chartaiwan,2023-07-20T10:22:53Z,2023-07-20T10:22:53Z,0,just watched this thing in Netflix. what a waste of time. it is a real piece of garbage....amazing to thing people working on this didnt question how horrible the movie is
@adult-events,2023-07-19T01:22:54Z,2023-07-19T01:22:54Z,0,I didn’t feel it 🤷🏻‍♂️
@solarlola5953,2023-07-18T21:12:26Z,2023-07-18T21:12:26Z,0,It wasn’t bad
@themoviehobbit355,2023-07-18T09:43:18Z,2023-07-18T09:43:18Z,1,Movie sucks
@MozayEnt,2023-07-17T21:06:38Z,2023-07-17T21:06:38Z,0,This movie&#39;s ending really got me.... Even if part two will come 2025 ill be waiting.  Who will win between Black Adam and Superman?
@babakh.5261,2023-07-14T06:05:15Z,2023-07-14T06:05:15Z,0,Bro why do they have to put a Lalalala🎶🎶🎶🎶🎶 sound affect every scene?
